question,answer,image_id
what does the symptoms on this leaf depict?,BlackSpot_disease,BlackSpot1
whether the leaf symptoms belong to Canker or Greening?,Canker_disease,canker1
"Based on the image, can you identify if the leaf has greening disease or is it healthy?",Greening_disease,Greening1
Is this leaf healthy or not?,Yes_HealthyLeaf,H1
What type of citrus disease is evident in this image?,Melanose_disease,M1
Is the leaf in the image suffering from any kind of disease?,Yes_BlackSpot_disease,BlackSpot2
what are the disease-related issues on this leaf?,Canker_disease,canker2
which disease symptoms are found on this citrus leaf?,Greening_disease,Greening2
"Based on the image, is the leaf healthy or showing signs of disease?",HealthyLeaf,H2
"Is the leaf pictured here free from disease, or is there evidence of infection?",Melanose_disease,M2
Are there any abnormal spots or discolorations on this leaf indicating a disease?,Yes_BlackSpot_disease,BlackSpot3
What type of citrus disease is evident in this image?,Canker_disease,canker3
"In relation to citrus diseases, what does this image portray?",Greening_disease,Greening3
"Based on visual cues, what does this citrus leaf depicts ?",HealthyLeaf,H3
What citrus leaf disease type can be inferred from this picture?,Melanose_disease,M3
"From the image, which disease affecting citrus leaves is being shown?",BlackSpot_disease,BlackSpot4
Which specific disease of citrus leaves does this image correspond to?,Canker_disease,canker4
What is the likely citrus disease represented in this image?,Greening_disease,Greening4
"In terms of citrus leaf diseases, what does this image indicate?",HealthyLeaf,H4
Identify the citrus disease type visualized in this picture.,Melanose_disease,M4
"From your knowledge of citrus diseases, what can you deduce from this image in terms of disease type?",BlackSpot_disease,BlackSpot5
"From the image, what specific disease affecting citrus leaves can you identify?",Canker_disease,canker5
"In the context of citrus leaf diseases, what does this image suggest about the type of disease present?",Greening_disease,Greening5
Which disease common to citrus leaves is being hinted at in this image?,HealthyLeaf,H5
"By examining the image, what conclusion can you draw about the particular citrus leaf disease it illustrates?",Melanose_disease,M5
Do you notice any disease symptoms on this leaf?,Yes_BlackSpot_disease,BlackSpot6
Is the leaf infected with a disease?,Yes_Canker_disease,canker6
"In the context of citrus leaf diseases, what is the most probable interpretation of this image?",Greening_disease,Greening6
Identify the citrus leaf disease based on the features visible in the image.,HealthyLeaf,H6
Which disease affecting citrus leaves is indicated by the image provided?,Melanose_disease,M6
Are there any disease-related marks on this leaf?,Yes_BlackSpot_disease,BlackSpot7
Is the leaf's health compromised by a disease?,Yes_Canker_disease,canker7
Can you see any signs of disease on this leaf?,Yes_Greening_disease,Greening7
Does this leaf have any visible disease symptoms?,No_HealthyLeaf,H7
What disease type is being depicted in the image of the citrus leaf?,Melanose_disease,M7
"In terms of citrus leaf diseases, what does this image hint at?",BlackSpot_disease,BlackSpot8
what can you infer about the disease in question from this image?,Canker_disease,canker8
Describe the disease affecting the citrus leaf in the provided image.,Greening_disease,Greening8
Is the leaf's appearance affected by disease?,No_HealthyLeaf,H8
What conclusion can you draw about the health of the citrus plant from this image?,Melanose_disease,M8
What disease could be causing the visible abnormalities in this citrus leaf image?,BlackSpot_disease,BlackSpot9
What type of disease might be affecting the citrus leaves as seen in the image?,Canker_disease,canker9
"Based on the image, what specific citrus leaf disease can you identify?",Greening_disease,Greening9
What inference can you make about the citrus plant's condition from this image of its leaves?,HealthyLeaf,H9
Is the leaf's abnormality a result of a disease?,Yes_Melanose_disease,M9
Is this leaf displaying signs of disease or damage?,Yes_BlackSpot_disease,BlackSpot10
Is the leaf's mark attributed to a disease?,Yes_Canker_disease,canker10
Can you confirm if this leaf is under the influence of a disease?,Yes_Greening_disease,Greening10
does this leaf have a disease?,No_HealthyLeaf,H10
Can you verify if this leaf is sick?,Yes_BlackSpot_disease,BlackSpot11
What disease-related characteristics are evident in the image of the citrus leaf?,Canker_disease,canker11
"In terms of citrus health, what does this image reveal about the presence of disease?",Greening_disease,Greening11
Identify the citrus disease that aligns with the symptoms shown in the image.,HealthyLeaf,H11
What do you gather about the citrus leaf's health status from this image?,Melanose_disease,M10
Is this leaf not healthy because of a disease?,Yes_BlackSpot_disease,BlackSpot12
"From the visual cues in the image, which disease is affecting the citrus leaves?",Canker_disease,canker12
What type of citrus leaf disease might this image help diagnose?,Greening_disease,Greening12
What insights can you draw about the health of the citrus plant from this leaf image?,HealthyLeaf,H12
Is this leaf's oddness caused by a disease?,Yes_Melanose_disease,M11
Is this leaf showing any signs of disease or harm?,Yes_BlackSpot_disease,BlackSpot13
Is this leaf's mark caused by a disease?,Yes_Canker_disease,canker13
Can you make sure if this leaf is affected by a disease?,Yes_Greening_disease,Greening13
Is this leaf's state getting worse because of a disease?,No_HealthyLeaf,H13
Which specific disease could be causing the observed issues in the citrus leaf?,BlackSpot_disease,BlackSpot14
Describe the disease characteristics visible in the image of the citrus leaf.,Canker_disease,canker14
What disease type is indicated by the abnormalities in this citrus leaf image?,Greening_disease,Greening14
Are there any clear signs of disease on this citrus leaf?,No_HealthyLeaf,H14
"Using the picture, can you figure out if the leaf has a disease?",Yes_BlackSpot_disease,BlackSpot15
Is the leaf in the picture not well from BlackSpot sickness?,No_Canker_disease,canker15
Could you let me know if there's anything wrong with this leaf because of a disease?,Yes_Greening_disease,Greening15
Do you notice any signs of sickness on this citrus leaf in the picture?,No_HealthyLeaf,H15
"Looking at the picture, is the leaf healthy or does it have signs of sickness?",Yes_Melanose_disease,M12
"In the picture, is the leaf okay or does it look like it has an infection?",Yes_BlackSpot_disease,BlackSpot16
Are there any strange spots or color changes on this leaf that might mean a disease?,Yes_Canker_disease,canker16
"Based on what you see, is this citrus leaf suffering from a Canker disease?",No_Greening_disease,Greening16
Can you figure out if the leaf in the picture is dealing with a disease?,Yes_HealthyLeaf,H16
what conclusions can you make about the potential disease affecting the citrus leaves in this image?,Melanose_disease,M13
"In the context of citrus leaf diseases, how would you interpret the symptoms in this image?",BlackSpot_disease,BlackSpot17
Is there any disease found on this leaf?,Yes_Canker_disease,canker17
Does this leaf seem unhealthy due to a disease?,Yes_BlackSpot_disease,BlackSpot18
Is this leaf healthy or not?,Yes_HealthyLeaf,H17
Is there any evidence of disease on this leaf?,Yes_BlackSpot_disease,BlackSpot19
What do you gather about the underlying issue in the citrus plant from this leaf image?,Canker_disease,canker18
Which disease of citrus leaves corresponds to the signs shown in the image?,Greening_disease,Greening17
Is this leaf's condition due to a disease?,No_HealthyLeaf,H18
Can you tell if a disease is harming this leaf?,Yes_BlackSpot_disease,BlackSpot20
Is this leaf not well because of some disease?,Yes_Canker_disease,canker19
What disease is seen in this citrus leaf image?,Greening_disease,Greening18
Is there any sign of disease on this leaf?,No_HealthyLeaf,H19
What disease might these visual characteristics indicate?,Melanose_disease,M14
"Is this leaf dealing with a disease, according to you?",Yes_BlackSpot_disease,BlackSpot21
What conclusions can you make from this image?,Canker_disease,canker20
What disease is being indicated here?,Greening_disease,Greening19
Do you notice any disease-related issues on this leaf?,No_HealthyLeaf,H20
What disease is indicated by this image?,Melanose_disease,M15
What specific disease aligns with this image?,BlackSpot_disease,BlackSpot22
What's your interpretation of this image?,Canker_disease,canker21
What disease does this image suggest?,BlackSpot_disease,BlackSpot23
Can you determine if this leaf is healthy?,No_Canker_disease,canker22
Is this leaf's state a result of some disease?,Yes_Greening_disease,Greening20
Does this leaf seem to have caught a disease?,No_HealthyLeaf,H21
Can you see any disease symptoms on this leaf?,Yes_BlackSpot_disease,BlackSpot24
Is the leaf's appearance changed due to a disease?,Yes_Canker_disease,canker23
What insights can you gather from this image?,Greening_disease,Greening21
Which disease is likely affecting the plant?,HealthyLeaf,H22
What does this image provide clues about?,Melanose_disease,M16
Does this leaf have any visible disease symptoms?,Yes_BlackSpot_disease,BlackSpot25
Can you find out if this leaf's issue is a disease?,Yes_Canker_disease,canker24
What can you deduce about the disease from this image?,Greening_disease,Greening22
What conclusions can you draw about this disease?,BlackSpot_disease,BlackSpot26
Is the leaf's blemish connected to a disease?,Yes_BlackSpot_disease,BlackSpot27
What disease can be inferred from this picture?,BlackSpot_disease,BlackSpot28
Is there any evidence of infection or disease on this leaf?,Yes_Canker_disease,canker25
Which citrus disease is suggested by these cues?,Greening_disease,Greening23
What can you infer about the disease from this image?,HealthyLeaf,H23
Do you observe any irregularities on this leaf due to a disease?,Yes_Melanose_disease,M17
Is the leaf's odd appearance due to a disease?,Yes_BlackSpot_disease,BlackSpot29
What does this image convey about the disease?,Canker_disease,canker26
Identify the disease shown in this image.,Greening_disease,Greening24
Is there a possibility of disease affecting this leaf's well-being?,No_HealthyLeaf,H24
Can you tell if a disease is causing this leaf to look different?,Yes_BlackSpot_disease,BlackSpot30
Which disease do you see in this citrus leaf image?,Canker_disease,canker27
What does the visual suggest about the disease?,Greening_disease,Greening25
whther the leaf in image is healthy or not?,Yes_HealthyLeaf,H25
What can you provide about this disease?,Melanose_disease,M18
Identify the disease from this image.,BlackSpot_disease,BlackSpot31
What does this image suggest about the disease?,Canker_disease,canker28
Can you see if this leaf has been attacked by a disease?,Yes_Canker_disease,canker29
What conclusions can you make here?,BlackSpot_disease,BlackSpot32
What disease matches these visuals?,Canker_disease,canker30
Does this leaf's state suggest the presence of disease?,Yes_Greening_disease,Greening26
Is this leaf's oddness related to a disease?,No_HealthyLeaf,H26
Do you see any changes that might be due to a disease on this leaf?,Yes_Melanose_disease,M19
"Is this leaf's condition due to a disease, in your opinion?",Yes_BlackSpot_disease,BlackSpot33
What's your inference about this disease?,Canker_disease,canker31
What disease matches these symptoms?,Greening_disease,Greening27
What disease type aligns here?,HealthyLeaf,H27
What's your understanding of this disease?,BlackSpot_disease,BlackSpot34
Is there any disease affecting this leaf's health?,Yes_Canker_disease,canker32
Is this leaf indicating any disease-related issues?,Yes_Greening_disease,Greening28
What can you infer about the disease from this image?,HealthyLeaf,H28
Is there any suggestion of disease affecting this leaf?,Yes_Melanose_disease,M20
What disease can be inferred from this picture?,BlackSpot_disease,BlackSpot35
Is this leaf displaying any signs of disease?,Yes_Canker_disease,canker33
"Does this leaf seem affected by a disease, if any?",Yes_Greening_disease,Greening29
Is this leaf looking sick due to a disease?,No_HealthyLeaf,H29
Identify the disease shown in this image.,Melanose_disease,M21
Which citrus disease is suggested by these cues?,BlackSpot_disease,BlackSpot36
Is there any visible impact of a disease on this leaf's well-being?,Yes_Canker_disease,canker34
What does this image convey about the disease?,Greening_disease,Greening30
Is the leaf's appearance indicating a healthy leaf?,Yes_HealthyLeaf,H30
Do you detect any changes on this leaf due to disease?,Yes_BlackSpot_disease,BlackSpot37
What disease is seen in this citrus leaf image?,Canker_disease,canker35
What disease might these visual characteristics indicate?,BlackSpot_disease,BlackSpot38
Is this leaf indicating any signs of being unwell from a disease?,Yes_Canker_disease,canker36
What can you determine about this disease?,Greening_disease,Greening31
What disease might be causing this?,HealthyLeaf,H31
What do these features indicate in disease?,Melanose_disease,M22
What conclusions can you make here?,BlackSpot_disease,BlackSpot39
What disease matches these visuals?,Canker_disease,canker37
What's your inference about this disease?,Greening_disease,Greening32
is this a healthy leaf?,Yes_HealthyLeaf,H32
What does this image convey about the disease?,BlackSpot_disease,BlackSpot40
What can you provide about this disease?,Canker_disease,canker38
Identify the disease from this image.,Greening_disease,Greening33
What disease type aligns here?,HealthyLeaf,H33
What's your understanding of this disease?,Melanose_disease,M23
What's your interpretation of these symptoms?,BlackSpot_disease,BlackSpot41
What's your inference about this disease?,Canker_disease,canker39
What disease aligns with these cues?,Greening_disease,Greening34
What conclusions can you draw from this?,HealthyLeaf,H34
What disease aligns with this image?,Melanose_disease,M24
What does this image convey about the disease?,BlackSpot_disease,BlackSpot42
What disease is seen in this citrus leaf image?,Canker_disease,canker40
What does this image convey about the disease?,BlackSpot_disease,BlackSpot43
Identify the disease shown in this image.,Canker_disease,canker41
Which citrus disease is suggested by these cues?,Greening_disease,Greening35
What can you infer about the disease from this image?,HealthyLeaf,H35
What disease can be inferred from this picture?,Melanose_disease,M25
What can you deduce about the disease from this image?,BlackSpot_disease,BlackSpot44
What conclusions can you draw about this disease?,Canker_disease,canker42
What insights can you gather from this image?,Greening_disease,Greening36
Which disease is likely affecting the plant?,HealthyLeaf,H36
What does this image provide clues about?,Melanose_disease,M26
What disease is indicated by this image?,BlackSpot_disease,BlackSpot45
What specific disease aligns with this image?,Canker_disease,canker43
What's your interpretation of this image?,Greening_disease,Greening37
What disease does this image suggest?,HealthyLeaf,H37
What conclusions can you make from this image?,BlackSpot_disease,BlackSpot46
What disease is being indicated here?,Canker_disease,canker44
What disease matches these symptoms?,Greening_disease,Greening38
What stands out in this disease identification?,HealthyLeaf,H38
What does this image convey about the disease?,HealthyLeaf,H39
What's your understanding of this image?,Melanose_disease,M27
What disease can be inferred from this visual?,BlackSpot_disease,BlackSpot47
What insights can you provide about this disease?,Canker_disease,canker45
What conclusions can you draw from this image?,Greening_disease,Greening39
What's the disease related to this image?,HealthyLeaf,H40
What's your inference about this disease?,BlackSpot_disease,BlackSpot48
What disease is causing these patterns?,Canker_disease,canker46
What disease might these visual characteristics indicate?,Canker_disease,canker47
What's your assessment of this disease?,HealthyLeaf,H41
What disease is common with these visuals?,Melanose_disease,M28
What's your inference about this disease?,BlackSpot_disease,BlackSpot49
What disease matches these symptoms?,Canker_disease,canker48
Which disease do you see in this citrus leaf image?,Greening_disease,Greening41
What does the visual suggest about the disease?,HealthyLeaf,H42
Identify the disease presented in this image.,Melanose_disease,M29
What can you infer about this disease from the image?,BlackSpot_disease,BlackSpot50
What conclusions can you draw from this visual?,Canker_disease,canker49
What disease might these cues indicate?,Greening_disease,Greening42
Which disease aligns with this image?,HealthyLeaf,H43
What's your interpretation of this image's disease?,Melanose_disease,M30
What insights can you gather from this picture?,BlackSpot_disease,BlackSpot51
"Based on the image, what disease is likely?",Canker_disease,canker50
What does this image convey about the disease type?,Greening_disease,Greening43
What's your understanding of this visual's disease?,HealthyLeaf,H44
What's the likely disease from this image?,Melanose_disease,M31
What can you deduce from this disease image?,BlackSpot_disease,BlackSpot52
What's your assessment of the disease here?,Canker_disease,canker51
What disease corresponds to these symptoms?,Greening_disease,Greening44
What can you determine about this disease?,HealthyLeaf,H45
What does the image suggest about the disease?,Melanose_disease,M32
Which disease matches these observed features?,BlackSpot_disease,BlackSpot53
What's your inference about this disease's presence?,Canker_disease,canker52
What's your understanding of this disease's type?,Greening_disease,Greening45
What disease aligns with these characteristics?,HealthyLeaf,H46
What can you conclude about the disease?,Melanose_disease,M33
What's your interpretation of this disease image?,BlackSpot_disease,BlackSpot54
What's the likely disease causing this appearance?,Canker_disease,canker53
What's the disease indicated by this image?,Greening_disease,Greening46
What's your inference regarding this disease?,HealthyLeaf,H47
What disease could be responsible for this?,Melanose_disease,M34
What conclusions can you make about this disease?,BlackSpot_disease,BlackSpot55
What disease aligns with these visible signs?,Canker_disease,canker54
What can you deduce about this disease's type?,Greening_disease,Greening47
Which disease can be inferred from this image?,HealthyLeaf,H48
What's your assessment of the disease's impact?,Melanose_disease,M35
What disease matches these visual cues?,BlackSpot_disease,BlackSpot56
What's your understanding of this disease?,Canker_disease,canker55
What disease might these symptoms suggest?,Greening_disease,Greening48
What can you infer about this disease from the image?,HealthyLeaf,H49
What's the likely disease behind these visuals?,Melanose_disease,M36
What's your interpretation of this disease's signs?,BlackSpot_disease,BlackSpot57
What disease could be causing this appearance?,Canker_disease,canker56
What does this image convey about the disease's nature?,Greening_disease,Greening49
What's your inference about this disease's identity?,HealthyLeaf,H50
What disease is indicated by these characteristics?,Melanose_disease,M37
What conclusions can you draw from this image?,BlackSpot_disease,BlackSpot58
Can you tell if a disease is altering this leaf's condition?,Yes_Canker_disease,canker57
Is there a possibility that this leaf is unwell due to a disease?,Yes_Greening_disease,Greening50
Could you find any clues that suggest disease on this leaf?,No_HealthyLeaf,H51
Is this leaf's state possibly due to the presence of disease?,Yes_Melanose_disease,M38
Can you identify if a disease is impacting this leaf's state?,Yes_BlackSpot_disease,BlackSpot59
Is there any sign that this leaf has been attacked by disease?,Yes_Canker_disease,canker58
Could this leaf's abnormality be a result of disease?,Yes_Greening_disease,Greening51
Can you confirm if this leaf is affected by a disease?,No_HealthyLeaf,H52
Is there any evidence of infection or disease on this leaf?,Yes_Melanose_disease,M39
Could you determine if a disease is responsible for this leaf's state?,Yes_BlackSpot_disease,BlackSpot60
"Is this leaf showing signs of disease or damage, in your opinion?",Yes_Canker_disease,canker59
Can you tell if a disease is affecting this leaf's health?,Yes_Greening_disease,Greening52
Is there any possibility of a disease impacting this leaf?,No_HealthyLeaf,H53
Could this leaf's odd appearance be due to disease?,Yes_Melanose_disease,M40
Can you find out if this leaf's state is due to disease?,Yes_BlackSpot_disease,BlackSpot61
"Is this leaf possibly dealing with disease, according to you?",Yes_Canker_disease,canker60
Can you see any signs of disease or trouble on this leaf?,Yes_Greening_disease,Greening53
"Could this leaf's condition be due to disease, as per your view?",No_HealthyLeaf,H54
Is there any hint of disease affecting this leaf's appearance?,Yes_Melanose_disease,M41
Can you identify if this leaf is not well due to a disease?,Yes_Canker_disease,canker61
Is the leaf showing any signs of distress due to a disease?,Yes_BlackSpot_disease,BlackSpot62
Could you determine if a disease might be affecting this leaf?,Yes_Canker_disease,canker62
"Is there any presence of disease on this leaf, as you can see?",Yes_Greening_disease,Greening54
Can you find any signs that suggest a disease on this leaf?,No_HealthyLeaf,H55
Could you tell if a disease is affecting this leaf's condition?,Yes_Melanose_disease,M42
Is there any indication of a disease affecting this leaf's well-being?,Yes_BlackSpot_disease,BlackSpot63
Can you spot any symptoms of a disease impacting this leaf?,Yes_Canker_disease,canker63
Is this leaf showing any signs of illness due to a disease?,Yes_Canker_disease,canker64
Can you determine if this leaf is facing any disease-related issues?,Yes_Greening_disease,Greening55
Is there any suggestion of a disease affecting this leaf's health?,No_HealthyLeaf,H56
Could you identify whether this leaf's state is linked to disease?,Yes_Melanose_disease,M43
Is this leaf's condition likely due to the presence of Greening disease?,No_BlackSpot_disease,BlackSpot64
Can you see if this leaf might be unwell due to BlackSpot disease?,No_Canker_disease,canker65
Is this leaf potentially dealing with Canker disease-related changes?,No_Greening_disease,Greening56
Could this leaf's altered appearance be because of a disease?,No_HealthyLeaf,H57
Can you figure out if Greening disease is impacting how this leaf looks?,No_Melanose_disease,M44
Is the leaf displaying any indications of distress due to Canker disease?,No_BlackSpot_disease,BlackSpot65
Could this leaf's abnormal look be attributed to a disease?,Yes_Canker_disease,canker66
Can you confirm if this leaf is affected by disease or not?,Yes_BlackSpot_disease,BlackSpot66
Is there any sign of an infection or disease on this leaf?,Yes_Canker_disease,canker67
Can you tell if a disease might be affecting this leaf's health?,Yes_BlackSpot_disease,BlackSpot67
Does this leaf's state hint at the possibility of a disease?,Yes_Canker_disease,canker68
Could you identify if this leaf's issue stems from a disease?,Yes_Greening_disease,Greening57
Is the leaf's appearance indicating a healthy leaf?,Yes_HealthyLeaf,H58
Can you spot any symptoms that might be linked to BlackSpot disease on this leaf?,No_Melanose_disease,M45
Can you tell if a disease is connected to the changes in this leaf's appearance?,Yes_BlackSpot_disease,BlackSpot68
Is there any indication of disease affecting the well-being of this leaf?,Yes_Canker_disease,canker69
"Could this leaf's altered condition be due to a disease, do you think?",Yes_Greening_disease,Greening58
Is the leaf showing signs that might suggest it's unwell because of disease?,Yes_Greening_disease,Greening59
Can you see if there's any disease affecting this leaf?,Yes_BlackSpot_disease,BlackSpot69
Is there a chance of disease impacting this leaf's health?,Yes_Canker_disease,canker70
Could you determine if this leaf might be unwell due to a disease?,Yes_Greening_disease,Greening60
Is this leaf showing signs of being affected by disease?,Yes_Greening_disease,Greening61
Can you find any hints of disease on this leaf's appearance?,Yes_Melanose_disease,M46
Does this leaf look different because of some disease?,Yes_Melanose_disease,M47
Is there a possibility of disease affecting this leaf's condition?,Yes_BlackSpot_disease,BlackSpot70
Could you spot any symptoms of disease on this leaf?,Yes_Canker_disease,canker71
Is this leaf facing any Greening disease-related issues?,Yes_Greening_disease,Greening62
Can you tell if a disease might be changing this leaf's state?,Yes_Melanose_disease,M48
Is there any sign of illness on this leaf due to Canker disease?,No_Melanose_disease,M49
Could this leaf's problem be due to the presence of disease?,Yes_BlackSpot_disease,BlackSpot71
Is this leaf not well because of Melanose disease?,No_BlackSpot_disease,BlackSpot72
Can you determine if a disease is causing this leaf's odd appearance?,Yes_Canker_disease,canker72
Is there a chance that disease is impacting this leaf's well-being?,Yes_Greening_disease,Greening63
"Is this leaf possibly affected by Greening disease, in your opinion?",No_Melanose_disease,M50
Can you see if this leaf's issue could be linked to a disease?,Yes_Canker_disease,canker73
Is there any hint that Canker  disease might be affecting this leaf?,No_BlackSpot_disease,BlackSpot73
Could this leaf's state be related to the presence of disease?,Yes_Canker_disease,canker74
Can you find out if this leaf's state is due to a disease?,Yes_Greening_disease,Greening64
Could you determine if this leaf might have caught a disease?,Yes_Melanose_disease,M51
Is this leaf showing signs of distress due to a disease?,Yes_BlackSpot_disease,BlackSpot74
Can you tell if a disease is causing changes in this leaf?,Yes_Canker_disease,canker75
Is there any evidence of disease affecting this leaf's health?,Yes_Greening_disease,Greening65
Could this leaf's appearance be because of some disease?,No_HealthyLeaf,H59
"Is the leaf possibly dealing with disease, according to you?",Yes_Melanose_disease,M52
Can you confirm if there's any disease affecting this leaf?,Yes_Greening_disease,Greening66
Is there any indication of disease impacting this leaf's state?,Yes_BlackSpot_disease,BlackSpot75
Could you identify if a disease is causing this leaf's problem?,Yes_BlackSpot_disease,BlackSpot76
Is this leaf facing any signs of BlackSpot disease impact?,No_Canker_disease,canker76
Can you see if this leaf has been attacked by a disease?,Yes_Canker_disease,canker77
Is there a chance that disease might be responsible for this leaf's state?,Yes_Greening_disease,Greening67
Could you determine if this leaf's abnormality is linked to a disease?,No_HealthyLeaf,H60
"Is this leaf looking different due to a disease, as per your view?",Yes_Melanose_disease,M53
Can you tell if a disease is causing this leaf's odd look?,Yes_BlackSpot_disease,BlackSpot77
Is there any evidence of disease affecting this leaf's appearance?,Yes_Canker_disease,canker78
"Could this leaf's issue be due to the presence of disease, do you think?",Yes_Greening_disease,Greening68
whther the image is showing a healthy leaf or any sickness due to a disease?,Yes_HealthyLeaf,H61
Can you see if this leaf's state is because of a disease?,Yes_Melanose_disease,M54
Is there a chance of disease impacting this leaf's condition?,Yes_HealthyLeaf,H62
Could you determine if a disease is causing this leaf's change?,Yes_BlackSpot_disease,BlackSpot78
"Is this leaf facing any disease-related changes, in your view?",Yes_Canker_disease,canker79
Can you tell if a disease might be affecting this leaf's look?,Yes_Canker_disease,canker80
Is there any sign that this leaf's state is due to a disease?,Yes_Greening_disease,Greening69
Could this leaf's condition be connected to a disease?,Yes_Greening_disease,Greening70
Is this leaf showing any indications of being unwell due to disease?,No_HealthyLeaf,H63
Can you see if disease might be affecting this leaf's well-being?,Yes_Melanose_disease,M55
Could you identify if this leaf's issue is related to disease?,Yes_BlackSpot_disease,BlackSpot79
Is this leaf facing any signs that suggest a disease?,Yes_Canker_disease,canker81
Can you tell if a disease is influencing this leaf's health?,Yes_Greening_disease,Greening71
Is there any indication of disease affecting this leaf's look?,No_HealthyLeaf,H64
Could this leaf's state be because of some disease?,Yes_Melanose_disease,M56
"Is this leaf showing signs of being affected by disease, in your opinion?",Yes_BlackSpot_disease,BlackSpot80
Can you find any symptoms that might be linked to  disease on this leaf?,Yes_Canker_disease,canker82
Is there a chance that disease could be altering this leaf's appearance?,Yes_Greening_disease,Greening72
Could you determine if a disease is connected to this leaf's oddness?,No_HealthyLeaf,H65
"Is this leaf facing any disease-related troubles, as per your view?",Yes_Melanose_disease,M57
